01:03:48 Loaded 500 cached emails
01:03:48 Already done: 25
01:03:48 Remaining to process: 453
01:03:48 Split into 2 chunks of size ~227
01:03:48 Starting workers...
01:04:00 [1/453] 19dfe404... (12s, 0.08/s, ETA 5562s)
01:04:03 [2/453] 19e18669... (15s, 0.13/s, ETA 3365s)
01:04:19 [3/453] 19dfe3cc... (31s, 0.10/s, ETA 4716s)
01:04:22 [4/453] 19e1780d... (34s, 0.12/s, ETA 3766s)
01:04:35 [5/453] 19dfe2d3... (48s, 0.11/s, ETA 4257s)
01:04:41 [6/453] 19e18077... (53s, 0.11/s, ETA 3967s)
01:05:05 [7/453] 19e1832e... (77s, 0.09/s, ETA 4887s)
01:05:08 [8/453] 19dfe37d... (80s, 0.10/s, ETA 4430s)
01:05:22 [9/453] 19dfe3c3... (94s, 0.10/s, ETA 4654s)
01:05:41 [10/453] 19e177e2... (113s, 0.09/s, ETA 5000s)
01:05:51 [11/453] 19dfe281... (123s, 0.09/s, ETA 4953s)
01:06:03 [12/453] 19e17133... (135s, 0.09/s, ETA 4974s)
01:06:17 [13/453] 19dfe11d... (149s, 0.09/s, ETA 5041s)
01:06:35 [14/453] 19e18654... (167s, 0.08/s, ETA 5222s)
01:06:43 [15/453] 19dfe20f... (175s, 0.09/s, ETA 5104s)
01:06:53 [16/453] 19e186ba... (185s, 0.09/s, ETA 5061s)
01:07:12 [17/453] 19e17671... (204s, 0.08/s, ETA 5229s)
01:07:13 [18/453] 19dfe118... (205s, 0.09/s, ETA 4960s)
01:07:35 [19/453] 19dfe1af... (227s, 0.08/s, ETA 5178s)
01:07:41 [20/453] 19e173ff... (233s, 0.09/s, ETA 5041s)
01:07:58 [21/453] 19dfe0b3... (250s, 0.08/s, ETA 5139s)
01:08:13 [22/453] 19e1701b... (265s, 0.08/s, ETA 5195s)
01:08:15 [23/453] 19dfe0a2... (267s, 0.09/s, ETA 4993s)
01:08:32 [24/453] 19dfe015... (284s, 0.08/s, ETA 5084s)
01:08:38 [25/453] 19e16d6d... (290s, 0.09/s, ETA 4963s)
01:09:06 [26/453] 19dfe06a... (318s, 0.08/s, ETA 5223s)
01:09:11 [27/453] 19e170a5... (323s, 0.08/s, ETA 5098s)
01:09:30 [28/453] 19dfdec0... (342s, 0.08/s, ETA 5197s)
01:09:39 [29/453] 19e178f6... (351s, 0.08/s, ETA 5127s)
01:09:54 [30/453] 19dfdfde... (366s, 0.08/s, ETA 5156s)
01:10:10 [31/453] 19dfdea0... (382s, 0.08/s, ETA 5200s)
01:10:22 [32/453] 19e165ae... (394s, 0.08/s, ETA 5181s)
01:10:32 [33/453] 19dfde99... (404s, 0.08/s, ETA 5140s)
01:10:43 [34/453] 19e162b3... (416s, 0.08/s, ETA 5121s)
01:10:55 [35/453] 19dfde8a... (427s, 0.08/s, ETA 5105s)
01:11:06 [36/453] 19e13af6... (438s, 0.08/s, ETA 5075s)
01:11:20 [37/453] 19dfde77... (452s, 0.08/s, ETA 5084s)
01:11:34 [38/453] 19e15c98... (466s, 0.08/s, ETA 5086s)
01:11:42 [39/453] 19dfdcb1... (474s, 0.08/s, ETA 5028s)
01:11:56 [40/453] 19e15317... (488s, 0.08/s, ETA 5040s)
01:12:06 [41/453] 19dfde22... (498s, 0.08/s, ETA 5004s)
01:12:18 [42/453] 19e15f77... (510s, 0.08/s, ETA 4993s)
01:12:36 [43/453] 19dfd9ff... (528s, 0.08/s, ETA 5030s)
01:12:38 [44/453] 19e137e5... (530s, 0.08/s, ETA 4925s)
01:12:56 [45/453] 19e13141... (548s, 0.08/s, ETA 4969s)
01:13:04 [46/453] 19dfda03... (556s, 0.08/s, ETA 4920s)
01:13:30 [47/453] 19e12eb4... (582s, 0.08/s, ETA 5024s)
01:13:35 [48/453] 19dfd97f... (587s, 0.08/s, ETA 4953s)
01:13:55 [49/453] 19e12cc6... (607s, 0.08/s, ETA 5003s)
01:14:02 [50/453] 19dfd8d3... (614s, 0.08/s, ETA 4949s)
01:14:15 [51/453] 19e12e51... (627s, 0.08/s, ETA 4939s)
01:14:25 [52/453] 19dfd73b... (637s, 0.08/s, ETA 4909s)
01:14:36 [53/453] 19e12a04... (648s, 0.08/s, ETA 4889s)
01:14:46 [54/453] 19dfd7f9... (658s, 0.08/s, ETA 4861s)
01:14:59 [55/453] 19e129ed... (671s, 0.08/s, ETA 4856s)
01:15:11 [56/453] 19dfd6e8... (683s, 0.08/s, ETA 4841s)
01:15:22 [57/453] 19e12939... (694s, 0.08/s, ETA 4819s)
01:15:36 [58/453] 19dfd76d... (708s, 0.08/s, ETA 4823s)
01:15:42 [59/453] 19e12500... (714s, 0.08/s, ETA 4770s)
01:15:57 [60/453] 19dfd543... (729s, 0.08/s, ETA 4776s)
01:16:14 [61/453] 19e12114... (746s, 0.08/s, ETA 4796s)
01:16:30 [62/453] 19dfd609... (762s, 0.08/s, ETA 4807s)
01:16:39 [63/453] 19e1242a... (771s, 0.08/s, ETA 4774s)
01:16:49 [64/453] 19dfd4eb... (781s, 0.08/s, ETA 4745s)
01:17:01 [65/453] 19e11f48... (793s, 0.08/s, ETA 4735s)
01:17:14 [66/453] 19dfd6da... (806s, 0.08/s, ETA 4727s)
01:17:26 [67/453] 19e0f4d1... (818s, 0.08/s, ETA 4713s)
01:17:48 [68/453] 19dfd417... (840s, 0.08/s, ETA 4754s)
01:17:57 [69/453] 19e0f775... (849s, 0.08/s, ETA 4723s)
01:18:19 [70/453] 19dfd206... (871s, 0.08/s, ETA 4763s)
01:18:21 [71/453] 19e10431... (873s, 0.08/s, ETA 4696s)
01:18:36 [72/453] 19dfd058... (888s, 0.08/s, ETA 4697s)
01:18:41 [73/453] 19e11c25... (893s, 0.08/s, ETA 4651s)
01:18:54 [74/453] 19e0f1af... (906s, 0.08/s, ETA 4639s)
01:18:56 [75/453] 19dfd3ee... (908s, 0.08/s, ETA 4574s)
01:19:09 [76/453] 19e0ef9e... (921s, 0.08/s, ETA 4569s)
01:19:12 [77/453] 19dfc169... (924s, 0.08/s, ETA 4511s)
01:19:36 [78/453] 19dfb87e... (949s, 0.08/s, ETA 4560s)
01:19:43 [79/453] 19e0ea8a... (955s, 0.08/s, ETA 4523s)
01:19:58 [80/453] 19dfc08d... (970s, 0.08/s, ETA 4524s)
01:20:07 [81/453] 19e0e9db... (979s, 0.08/s, ETA 4496s)
01:20:19 [82/453] 19dfbfd6... (991s, 0.08/s, ETA 4485s)
01:20:32 [83/453] 19e0d318... (1004s, 0.08/s, ETA 4475s)
01:20:43 [84/453] 19dfb2c6... (1015s, 0.08/s, ETA 4457s)
01:21:00 [85/453] 19dfb479... (1032s, 0.08/s, ETA 4470s)
01:21:14 [86/453] 19e0e894... (1046s, 0.08/s, ETA 4464s)
01:21:28 [87/453] 19dfb1a9... (1060s, 0.08/s, ETA 4460s)
01:21:35 [88/453] 19e0d178... (1067s, 0.08/s, ETA 4428s)
01:21:49 [89/453] 19e0d0aa... (1081s, 0.08/s, ETA 4420s)
01:21:52 [90/453] 19dfb1e7... (1084s, 0.08/s, ETA 4373s)
01:22:03 [91/453] 19dfafa7... (1096s, 0.08/s, ETA 4358s)
01:22:24 [92/453] 19dfb059... (1116s, 0.08/s, ETA 4378s)
01:22:29 [93/453] 19e0d023... (1121s, 0.08/s, ETA 4340s)
01:22:47 [94/453] 19e0cf3a... (1139s, 0.08/s, ETA 4349s)
01:22:55 [95/453] 19dfaedd... (1147s, 0.08/s, ETA 4323s)
01:23:09 [96/453] 19e0c935... (1161s, 0.08/s, ETA 4317s)
01:23:22 [97/453] 19dfacea... (1174s, 0.08/s, ETA 4309s)
01:23:39 [98/453] 19dfaaf9... (1191s, 0.08/s, ETA 4315s)
01:23:46 [99/453] 19e0ccec... (1198s, 0.08/s, ETA 4283s)
01:25:39 [100/453] 19dfaa94... (1311s, 0.08/s, ETA 4629s)
01:25:46 [101/453] 19e0c8c8... (1318s, 0.08/s, ETA 4593s)
01:26:55 [102/453] 19dfaa7d... (1387s, 0.07/s, ETA 4773s)
01:27:04 [103/453] 19e0c596... (1396s, 0.07/s, ETA 4744s)
01:27:21 [104/453] 19dfa992... (1413s, 0.07/s, ETA 4741s)
01:27:32 [105/453] 19e0ca46... (1424s, 0.07/s, ETA 4720s)
01:27:49 [106/453] 19dfaa7d... (1441s, 0.07/s, ETA 4716s)
01:28:06 [107/453] 19e0bd16... (1458s, 0.07/s, ETA 4714s)
01:28:16 [108/453] 19dfa893... (1468s, 0.07/s, ETA 4691s)
01:28:27 [109/453] 19e0a773... (1479s, 0.07/s, ETA 4667s)
01:28:38 [110/453] 19dfa73c... (1490s, 0.07/s, ETA 4645s)
01:28:52 [111/453] 19e09cf6... (1504s, 0.07/s, ETA 4634s)
01:29:06 [112/453] 19dfa71f... (1518s, 0.07/s, ETA 4623s)
01:29:11 [113/453] 19e0a39e... (1523s, 0.07/s, ETA 4583s)
01:29:27 [114/453] 19dfa6b0... (1539s, 0.07/s, ETA 4576s)
01:29:32 [115/453] 19e09c11... (1544s, 0.07/s, ETA 4539s)
01:29:45 [116/453] 19dfa857... (1557s, 0.07/s, ETA 4524s)
01:29:59 [117/453] 19dfa2a8... (1571s, 0.07/s, ETA 4512s)
01:30:10 [118/453] 19e09b54... (1582s, 0.07/s, ETA 4491s)
01:30:27 [119/453] 19e0980a... (1599s, 0.07/s, ETA 4489s)
01:30:37 [120/453] 19dfa0db... (1609s, 0.07/s, ETA 4464s)
01:30:52 [121/453] 19e095cc... (1624s, 0.07/s, ETA 4457s)
01:31:07 [122/453] 19dfa4db... (1639s, 0.07/s, ETA 4448s)
01:31:23 [123/453] 19e096c0... (1655s, 0.07/s, ETA 4440s)
01:31:27 [124/453] 19dfa0d2... (1659s, 0.07/s, ETA 4403s)
01:31:41 [125/453] 19e094e1... (1673s, 0.07/s, ETA 4390s)
